title published date 
Pseudo-Label-Free Weakly Supervised Semantic Segmentation Using Image Masking	Home	2022
TransCAM: Transformer Attention-based CAM Refinement for Weakly Supervised Semantic Segmentation	CoRR	2022
WegFormer: Transformers for Weakly Supervised Semantic Segmentation	CoRR	2022
Regional Semantic Contrast and Aggregation for Weakly Supervised Semantic Segmentation	CoRR	2022
Learning Self-Supervised Low-Rank Network for Single-Stage Weakly and Semi-Supervised Semantic Segmentation	CoRR	2022
Contrastive learning of Class-agnostic Activation Map for Weakly Supervised Object Localization and Semantic Segmentation	CoRR	2022
L2G: A Simple Local-to-Global Knowledge Transfer Framework for Weakly Supervised Semantic Segmentation	CoRR	2022
Anti-Adversarially Manipulated Attributions for Weakly Supervised Semantic Segmentation and Object Localization	CoRR	2022
WSSS4LUAD: Grand Challenge on Weakly-supervised Tissue Semantic Segmentation for Lung Adenocarcinoma	CoRR	2022
RecurSeed and CertainMix for Weakly Supervised Semantic Segmentation	CoRR	2022
One Weird Trick to Improve Your Semi-Weakly Supervised Semantic Segmentation Model	CoRR	2022
Mixed-UNet: Refined Class Activation Mapping for Weakly-Supervised Semantic Segmentation with Multi-scale Inference	CoRR	2022
Saliency Guided Inter- and Intra-Class Relation Constraints for Weakly Supervised Semantic Segmentation	CoRR	2022
Weakly and Semi Supervised Semantic Segmentation of RGB Images	CoRR	2021
Extracting Structured Supervision From Captions for Weakly Supervised Semantic Segmentation	CoRR	2021
A Weakly-Supervised Semantic Segmentation Approach Based on the Centroid Loss: Application to Quality Control and Inspection	IEEE Access	2021
Deep graph cut network for weakly-supervised semantic segmentation	IEEE Access	2021
WeGleNet: A weakly-supervised convolutional neural network for the semantic segmentation of Gleason grades in prostate histology images	Sci. China Inf. Sci.	2021
Towards closing the gap in weakly supervised semantic segmentation with DCNNs: Combining local and global models	Comput. Medical Imaging Graph.	2021
GECNN for Weakly Supervised Semantic Segmentation of 3D Point Clouds	Comput. Vis. Image Underst.	2021
A Comprehensive Analysis of Weakly-Supervised Semantic Segmentation in Different Image Domains	IEICE Trans. Inf. Syst.	2021
Erase then grow: Generating correct class activation maps for weakly-supervised semantic segmentation	Int. J. Comput. Vis.	2021
Contrastive and consistent feature learning for weakly supervised object localization and semantic segmentation	Neurocomputing	2021
CSENet: Cascade semantic erasing network for weakly-supervised semantic segmentation	Neurocomputing	2021
Atrous convolutional feature network for weakly supervised semantic segmentation	Neurocomputing	2021
Optimal Scale of Hierarchical Image Segmentation with Scribbles Guidance for Weakly Supervised Semantic Segmentation	Neurocomputing	2021
Weakly supervised semantic segmentation by iteratively refining optimal segmentation with deep cues guidance	Int. J. Pattern Recognit. Artif. Intell.	2021
Show, Match and Segment: Joint Weakly Supervised Learning of Semantic Matching and Object Co-Segmentation	Neural Comput. Appl.	2021
Attention-Based Dropout Layer for Weakly Supervised Single Object Localization and Semantic Segmentation	IEEE Trans. Pattern Anal. Mach. Intell.	2021
Single annotated pixel based weakly supervised semantic segmentation under driving scenes	IEEE Trans. Pattern Anal. Mach. Intell.	2021
Weakly-supervised semantic segmentation with saliency and incremental supervision updating	Pattern Recognit.	2021
Semi-Automated Semantic Segmentation of Arctic Shorelines Using Very High-Resolution Airborne Imagery, Spectral Indices and Weakly Supervised Machine Learning Approaches	Pattern Recognit.	2021
Semi-/Weakly-Supervised Semantic Segmentation Method and Its Application for Coastal Aquaculture Areas Based on Multi-Source Remote Sensing Images - Taking the Fujian Coastal Area (Mainly Sanduo) as an Example	Remote. Sens.	2021
On the Effectiveness of Weakly Supervised Semantic Segmentation for Building Extraction From High-Resolution Remote Sensing Imagery	Remote. Sens.	2021
SAL: Selection and Attention Losses for Weakly Supervised Semantic Segmentation	IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.	2021
Discriminative Region Suppression for Weakly-Supervised Semantic Segmentation	IEEE Trans. Multim.	2021
Group-Wise Semantic Mining for Weakly Supervised Semantic Segmentation	AAAI	2021
Weakly Supervised Semantic Segmentation for Large-Scale Point Cloud	AAAI	2021
Object Region and Class Learning for Weakly-Supervised Semantic Segmentation	AAAI	2021
Weakly Supervised Semantic Segmentation: From Box to Tag and Back	ACSCC	2021
Anti-Adversarially Manipulated Attributions for Weakly and Semi-Supervised Semantic Segmentation	BMVC	2021
Railroad Is Not a Train: Saliency As Pseudo-Pixel Supervision for Weakly Supervised Semantic Segmentation	CVPR	2021
BBAM: Bounding Box Attribution Map for Weakly Supervised Semantic and Instance Segmentation	CVPR	2021
One Thing One Click: A Self-Training Approach for Weakly Supervised 3D Semantic Segmentation	CVPR	2021
Background-Aware Pooling and Noise-Aware Loss for Weakly-Supervised Semantic Segmentation	CVPR	2021
Embedded Discriminative Attention Mechanism for Weakly Supervised Semantic Segmentation	CVPR	2021
Non-Salient Region Object Mining for Weakly Supervised Semantic Segmentation	CVPR	2021
CCC: Weakly Supervised Semantic Segmentation using Class Contribution Classification	CVPR	2021
Weakly Supervised Semantic Segmentation Learning on UAV Video Sequences	ICEIC	2021
Weakly Supervised Semantic Segmentation with Patch-Based Metric Learning Enhancement	EUSIPCO	2021
Region-Guided Pixel-Level Label Generation for Weakly Supervised Semantic Segmentation	ICANN (3)	2021
Seminar Learning for Click-Level Weakly Supervised Semantic Segmentation	ICCCV	2021
Unlocking the Potential of Ordinary Classifier: Class-specific Adversarial Erasing Framework for Weakly Supervised Semantic Segmentation	ICCV	2021
DiscoBox: Weakly Supervised Instance Segmentation and Semantic Correspondence from Box Supervision	ICCV	2021
Pseudo-mask Matters in Weakly-supervised Semantic Segmentation	ICCV	2021
Context Decoupling Augmentation for Weakly Supervised Semantic Segmentation	ICCV	2021
ECS-Net: Improving Weakly Supervised Semantic Segmentation by Using Connections Between Class Activation Maps	ICCV	2021
Leveraging Auxiliary Tasks with Affinity Learning for Weakly Supervised Semantic Segmentation	ICCV	2021
Complementary Patch for Weakly Supervised Semantic Segmentation	ICCV	2021
Perturbed Self-Distillation: Weakly Supervised Large-Scale Point Cloud Semantic Segmentation	ICCV	2021
Weakly Supervised 3D Semantic Segmentation Using Cross-Image Consensus and Inter-Voxel Affinity Relations	ICCV	2021
Weakly-supervised Semantic Segmentation in Cityscape via Hyperspectral Image	ICCV	2021
Weakly-Supervised Semantic Segmentation by Learning Label Uncertainty	ICCVW	2021
Weakly-Supervised Image Semantic Segmentation Using Graph Convolutional Networks	ICCVW	2021
EDGE Enhancement Network for Weakly Supervised Semantic Segmentation	ICME	2021
Learning Visual Words for Weakly-Supervised Semantic Segmentation	ICME	2021
Class-Specific Affinity based Weakly Supervised Semantic Segmentation with Neutral Region Exploration	IJCAI	2021
End-to-end Boundary Exploration for Weakly-supervised Semantic Segmentation	IJCNN	2021
WeClick: Weakly-Supervised Video Semantic Segmentation with Click Annotations	ACM Multimedia	2021
Adaptive Affinity Loss and Erroneous Pseudo-Label Refinement for Weakly Supervised Semantic Segmentation	ACM Multimedia	2021
Weakly Supervised Domain Adaptation using Super-pixel labeling for Semantic Segmentation	ACM Multimedia	2021
Reducing Information Bottleneck for Weakly Supervised Semantic Segmentation	MVA	2021
Adversarial Decoupling for Weakly Supervised Semantic Segmentation	NeurIPS	2021
Box-driven Weakly Supervised Images Semantic Segmentation Algorithm Based on Attention Model	PRCV (4)	2021
Weakly-supervised Object Representation Learning for Few-shot Semantic Segmentation	SMC	2021
Context Decoupling Augmentation for Weakly Supervised Semantic Segmentation	WACV	2021
Discriminative Region Suppression for Weakly-Supervised Semantic Segmentation	CoRR	2021
Anti-Adversarially Manipulated Attributions for Weakly and Semi-Supervised Semantic Segmentation	CoRR	2021
BBAM: Bounding Box Attribution Map for Weakly Supervised Semantic and Instance Segmentation	CoRR	2021
Non-Salient Region Object Mining for Weakly Supervised Semantic Segmentation	CoRR	2021
Weakly-Supervised Image Semantic Segmentation Using Graph Convolutional Networks	CoRR	2021
Background-Aware Pooling and Noise-Aware Loss for Weakly-Supervised Semantic Segmentation	CoRR	2021
One Thing One Click: A Self-Training Approach for Weakly Supervised 3D Semantic Segmentation	CoRR	2021
SQN: Weakly-Supervised Semantic Segmentation of Large-Scale 3D Point Clouds with 1000x Fewer Labels	CoRR	2021
Weakly Supervised Pseudo-Label assisted Learning for ALS Point Cloud Semantic Segmentation	CoRR	2021
DiscoBox: Weakly Supervised Instance Segmentation and Semantic Correspondence from Box Supervision	CoRR	2021
Railroad is not a Train: Saliency as Pseudo-pixel Supervision for Weakly Supervised Semantic Segmentation	CoRR	2021
WeGleNet: A Weakly-Supervised Convolutional Neural Network for the Semantic Segmentation of Gleason Grades in Prostate Histology Images	CoRR	2021
Affinity Attention Graph Neural Network for Weakly Supervised Semantic Segmentation	CoRR	2021
Towards Single Stage Weakly Supervised Semantic Segmentation	CoRR	2021
WeClick: Weakly-Supervised Video Semantic Segmentation with Click Annotations	CoRR	2021
Dense Supervision Propagation for Weakly Supervised Semantic Segmentation on 3D Point Clouds	CoRR	2021
Dynamic Feature Regularized Loss for Weakly Supervised Semantic Segmentation	CoRR	2021
eX-ViT: A Novel eXplainable Vision Transformer for Weakly Supervised Semantic Segmentation	CoRR	2022
LapSeg3D: Weakly Supervised Semantic Segmentation of Point Clouds Representing Laparoscopic Scenes	CoRR	2022
Mining confident supervision by prototypes discovering and annotation selection for weakly supervised semantic segmentation	Neurocomputing	2022
Exploiting Shape Cues for Weakly Supervised Semantic Segmentation	CoRR	2022
Multi-view Robustness-Enhanced Weakly Supervised Semantic Segmentation	AAAI	2022
A Novel Weakly Supervised Remote Sensing Landslide Semantic Segmentation Method: Combining CAM and cycleGAN Algorithms	Pattern Recognit.	2022
Weakly supervised building semantic segmentation via superpixel-CRF with initial deep seeds guiding	Comput. Biol. Medicine	2022
Online Attention Accumulation for Weakly Supervised Semantic Segmentation	Neurocomputing	2022
An unmanned aerial vehicle identification and tracking system based on weakly supervised semantic segmentation technology	IEEE Trans. Pattern Anal. Mach. Intell.	2022
Exploiting shape cues for weakly supervised semantic segmentation	IEEE Trans. Pattern Anal. Mach. Intell.	2022
Learning pseudo labels for semi-and-weakly supervised semantic segmentation	Phys. Commun.	2022
C-CAM: Causal CAM for Weakly Supervised Semantic Segmentation on Medical Image	AAAI	2022
Weakly Supervised Semantic Segmentation by Pixel-to-Prototype Contrast	CVPR	2022
Beyond Semantic to Instance Segmentation: Weakly-Supervised Instance Segmentation via Semantic Knowledge Transfer and Self-Refinement	CVPR	2022
HybridCR: Weakly-Supervised 3D Point Cloud Semantic Segmentation via Hybrid Contrastive Regularization	CVPR	2022
Towards Noiseless Object Contours for Weakly Supervised Semantic Segmentation	CVPR	2022
CLIMS: Cross Language Image Matching for Weakly Supervised Semantic Segmentation	CVPR	2022
C<sup>2</sup> AM: Contrastive learning of Class-agnostic Activation Map for Weakly Supervised Object Localization and Semantic Segmentation	CVPR	2022
Box2Mask: Weakly Supervised 3D Semantic Instance Segmentation using Bounding Boxes	CVPR	2022
Adaptive Spatial-BCE Loss for Weakly Supervised Semantic Segmentation	ECCV (31)	2022
Adversarial Erasing Framework via Triplet with Gated Pyramid Pooling Layer for Weakly Supervised Semantic Segmentation	ECCV (27)	2022
Region-based Pixels Integration Mechanism for Weakly Supervised Semantic Segmentation	IJCAI	2022
Cycle-Consistent Learning for Weakly Supervised Semantic Segmentation	ICMR	2022
Boat in the Sky: Background Decoupling and Object-aware Pooling for Weakly Supervised Semantic Segmentation	ACM Multimedia	2022
Multi-Granular Semantic Mining for Weakly Supervised Semantic Segmentation	HCMA@MM	2022
Active Self-Training for Weakly Supervised 3D Scene Semantic Segmentation	CoRR	2022
Expansion and Shrinkage of Localization for Weakly-Supervised Semantic Segmentation	CoRR	2022
Image Understands Point Cloud: Weakly Supervised 3D Semantic Segmentation via Association Learning	CoRR	2022
Weakly Supervised Semantic Segmentation via Progressive Patch Learning	CoRR	2022
Dual Progressive Transformations for Weakly Supervised Semantic Segmentation	CoRR	2022
GaIA: Graphical Information Gain based Attention Network for Weakly Supervised Point Cloud Semantic Segmentation	CoRR	2022
Hypergraph Convolutional Networks for Weakly-Supervised Semantic Segmentation	CoRR	2022
SLAM: Semantic Learning based Activation Map for Weakly Supervised Semantic Segmentation	CoRR	2022
SemFormer: Semantic Guided Activation Transformer for Weakly Supervised Semantic Segmentation	CoRR	2022
Max Pooling with Vision Transformers reconciles class and shape in weakly supervised semantic segmentation	CoRR	2022
Hypergraph Convolutional Network based Weakly Supervised Point Cloud Semantic Segmentation with Scene-Level Annotations	CoRR	2022
Max Pooling with Vision Transformers Reconciles Class and Shape in Weakly Supervised Semantic Segmentation	ECCV (31)	2022
Weakly Supervised Semantic Segmentation of Echocardiography Videos via Multi-level Features Selection	ACM Multimedia	2022
Attention-based Class Activation Diffusion for Weakly-Supervised Semantic Segmentation	CoRR	2022
Out-of-Candidate Rectification for Weakly Supervised Semantic Segmentation	CoRR	2022
One Class One Click: Quasi Scene-level Weakly Supervised Point Cloud Semantic Segmentation with Active Learning	CoRR	2022
Average Activation Network for Weakly Supervised Semantic Segmentation	ICASSP	2022
Weakly Supervised Semantic Segmentation in Aerial Imagery via Explicit Pixel-Level Constraints	Pattern Recognit.	2022
Weakly-Supervised Semantic Segmentation Network With Iterative dCRF	IEEE Trans. Geosci. Remote. Sens.	2022
Rethinking CAM in Weakly-Supervised Semantic Segmentation	Search	2022
CLIP is Also an Efficient Segmenter: A Text-Driven Approach for Weakly Supervised Semantic Segmentation	CoRR	2022
Weakly supervised training of universal visual concepts for multi-domain semantic segmentation	CoRR	2022
WSPointNet: A multi-branch weakly supervised learning network for semantic segmentation of large-scale mobile laser scanning point clouds	IEEE Access	2022
Weakly-Supervised Semantic Segmentation of Ships Using Thermal Imagery	CoRR	2022
CAANet: CAM-guided Adaptive Attention Network for Weakly Supervised Semantic Segmentation of Thyroid Nodules	AAAI	2022
